dataset,explainer_name,seed,num_test_x,f1_score,recall,precision,num_test_y,mask_size,mask_entropy,max_avg,cc_ratio,num_test,time,number_of_edges
syn1,basic_gnnexplainer,2.0,20.0,0.3096969696969697,0.30333333333333334,0.31733333333333336,20.0,234.95999999999998,3.4157662769785526,0.32904144893588244,0.06593473922723049,20.0,4.259180000000001,4110.0
syn1,distance,2.0,20.0,0.6784545454545455,0.6683333333333333,0.6910000000000001,20.0,4055.1800000000003,8.180945485889527,0.0774908751574704,0.0014285714285714286,20.0,0.01904,4110.0
syn1,gnnexplainer,2.0,20.0,0.29757575757575755,0.29166666666666663,0.30466666666666664,20.0,234.95999999999998,3.4368762201019307,0.30971269042927724,0.06593473922723049,20.0,5.60452,4110.0
syn1,ig,2.0,20.0,0.4465757575757577,0.44333333333333347,0.45066666666666666,20.0,3917.7600000000007,8.06258994725864,0.4278683650935891,0.001902615915955663,20.0,0.21400000000000002,4110.0
syn1,occlusion,2.0,20.0,0.17166666666666666,0.17166666666666666,0.17166666666666666,20.0,4108.969999999999,8.30819105101344,0.875819269501303,0.0014285714285714286,20.0,0.72046,4110.0
syn1,pagerank,2.0,20.0,0.8616666666666667,0.8616666666666667,0.8616666666666667,20.0,3007.7599999999998,6.364215263354316,0.0010058997479748736,0.0027493720986488377,20.0,0.02858,4110.0
syn1,pgexplainer,2.0,20.0,0.652,0.6366666666666667,0.6766666666666666,20.0,14.76,1.4122657779173575,0.004371645198472586,0.2808422640740752,20.0,0.03188,4110.0
syn1,pgmexplainer,2.0,20.0,0.5433333333333333,0.5433333333333333,0.5433333333333333,20.0,744.8,5.711957422765558,0.2536745385864413,0.015661336098684975,20.0,4.82576,4110.0
syn1,random,2.0,20.0,0.005,0.005,0.005,20.0,4104.66,8.126558517187515,0.4837332679075527,0.0014285714285714286,20.0,0.0001,4110.0
syn1,sa,2.0,20.0,0.043333333333333335,0.043333333333333335,0.043333333333333335,20.0,3995.06,8.179685860098164,0.9276700470269301,0.0016195897129078168,20.0,0.004620000000000001,4110.0
syn1,subgraphx,2.0,20.0,0.5988903318903318,0.5133333333333333,0.7803333333333334,20.0,8.879999999999999,2.137613161786281,1.0,0.14516666666666667,20.0,248.35845999999998,4110.0
syn3,basic_gnnexplainer,2.0,20.0,0.6638188405797102,0.6208333333333333,0.7179823232323232,20.0,123.5,2.63723199259073,0.13660614846659766,0.0842003047864355,20.0,5.52628,5080.0
syn3,distance,2.0,20.0,0.7308201581027667,0.7208333333333332,0.7420454545454545,20.0,5039.6900000000005,8.35882958847574,0.078794216342888,0.000980392156862745,20.0,0.02672,5080.0
syn3,gnnexplainer,2.0,20.0,0.6603322040278563,0.6141666666666666,0.718729797979798,20.0,123.5,2.6570728386760165,0.12662192838890543,0.0842003047864355,20.0,5.37206,5080.0
syn3,ig,2.0,20.0,0.18599143610013172,0.18416666666666665,0.18810606060606058,20.0,4426.660000000001,7.821791065796177,0.7844522358370879,0.007738095445096724,20.0,0.27862,5080.0
syn3,occlusion,2.0,20.0,0.0,0.0,0.0,20.0,5077.93,8.526546465603417,0.9905117066386039,0.000980392156862745,20.0,0.48032,5080.0
syn3,pagerank,2.0,20.0,0.9378787878787879,0.9366666666666668,0.9393333333333335,20.0,2300.82,5.452044415658189,0.001003275975950226,0.003057505322841739,20.0,0.0385,5080.0
syn3,pgexplainer,2.0,20.0,0.8014033502729155,0.7633333333333334,0.8498282828282828,20.0,26.96,2.5209455017090865,0.2684340756868125,0.13173527462651166,20.0,0.029979999999999996,5080.0
syn3,pgmexplainer,2.0,20.0,0.6634841897233201,0.6591666666666667,0.6690454545454545,20.0,252.84,4.189083831124444,0.2824881384221,0.0525815634860788,20.0,6.4126199999999995,5080.0
syn3,random,2.0,20.0,0.006666666666666666,0.006666666666666666,0.006666666666666666,20.0,5074.0,8.33911811360588,0.44785738202105374,0.000980392156862745,20.0,0.0001,5080.0
syn3,sa,2.0,20.0,0.0,0.0,0.0,20.0,5076.64,8.530722183024178,0.9902549142009945,0.0010099001327714598,20.0,0.00872,5080.0
syn3,subgraphx,2.0,20.0,0.47650673142310646,0.4033333333333333,0.6881212121212121,20.0,12.88,2.5211415324089193,1.0,0.022893217893217892,20.0,40.11,5080.0
syn4,basic_gnnexplainer,2.0,20.0,0.2333333333333333,0.22666666666666666,0.24133333333333332,20.0,21.82,1.9909254265540597,0.20050320312213135,0.10480386213803397,20.0,6.022060000000001,1950.0
syn4,distance,2.0,20.0,0.25075757575757573,0.24666666666666667,0.25566666666666665,20.0,1938.28,7.09913984979662,0.011854247328876868,0.0011481056257175658,20.0,0.01568,1950.0
syn4,gnnexplainer,2.0,20.0,0.23933333333333331,0.2333333333333333,0.24683333333333332,20.0,21.82,1.9698076223091068,0.1708712646054695,0.10480386213803397,20.0,4.86042,1950.0
syn4,ig,2.0,20.0,0.2443030303030303,0.23833333333333334,0.25266666666666665,20.0,1312.16,5.79158559584711,0.2704785154022164,0.02688102957230501,20.0,0.24872,1950.0
syn4,occlusion,2.0,20.0,0.22000000000000003,0.22000000000000003,0.22000000000000003,20.0,1852.94,7.376855308063424,0.5819111508041969,0.00340238865612,20.0,0.09056,1950.0
syn4,pagerank,2.0,20.0,0.32333333333333336,0.32333333333333336,0.32333333333333336,20.0,171.73999999999998,3.5330842210298217,0.0011213080138766807,0.01480241121941953,20.0,0.01922,1950.0
syn4,pgexplainer,2.0,20.0,0.20400000000000001,0.1983333333333333,0.21200000000000002,20.0,17.56,2.2197536657788772,0.4753705516955561,0.2089404906930314,20.0,0.01846,1950.0
syn4,pgmexplainer,2.0,20.0,0.3501212121212121,0.34500000000000003,0.3566666666666667,20.0,36.72,3.3503570279057393,0.6594707416638553,0.06638576194886124,20.0,6.342499999999999,1950.0
syn4,random,2.0,20.0,0.003333333333333333,0.003333333333333333,0.003333333333333333,20.0,1947.05,7.380759615028002,0.4323261520932218,0.0011481188223339534,20.0,2e-05,1950.0
syn4,sa,2.0,20.0,0.0713030303030303,0.06999999999999999,0.07316666666666667,20.0,1431.3200000000002,6.247772839024767,0.40664239815522274,0.018451222039257427,20.0,0.00538,1950.0
syn4,subgraphx,2.0,20.0,0.23309523809523808,0.19833333333333333,0.308,20.0,7.5,2.007748631245478,1.0,0.08650000000000001,20.0,3.2074399999999996,1950.0
syn5,basic_gnnexplainer,2.0,20.0,0.32781215885563714,0.31083333333333335,0.34848737373737376,20.0,34.3,2.2286315432190116,0.0624329815583067,0.07789722101564545,20.0,6.09004,3410.0
syn5,distance,2.0,20.0,0.3853886693017128,0.3783333333333333,0.39342424242424245,20.0,3405.9,7.870831846796588,0.02453898711664903,0.0008123476848090983,20.0,0.018940000000000002,3410.0
syn5,gnnexplainer,2.0,20.0,0.34987577639751555,0.33499999999999996,0.3674747474747475,20.0,34.3,2.1732057499842554,0.08218515207078353,0.07789722101564545,20.0,5.2177999999999995,3410.0
syn5,ig,2.0,20.0,0.4353129117259552,0.4341666666666667,0.43662121212121213,20.0,2632.2799999999997,6.963044423548226,0.4617675068300878,0.01448151907760287,20.0,0.25616,3410.0
syn5,occlusion,2.0,20.0,0.2680147750799925,0.25916666666666666,0.27886363636363637,20.0,2398.91,6.769300784497368,0.5467139562390054,0.018944720089354113,20.0,0.16066,3410.0
syn5,pagerank,2.0,20.0,0.485,0.485,0.485,20.0,395.48,4.116386384256994,0.0010140554254307135,0.0073580395610259195,20.0,0.02968,3410.0
syn5,pgexplainer,2.0,20.0,0.23588793478697906,0.21833333333333335,0.2635494227994228,20.0,28.02,2.3286201841883583,0.16533878695680454,0.12241707327271086,20.0,0.028460000000000003,3410.0
syn5,pgmexplainer,2.0,20.0,0.4732938076416337,0.47000000000000003,0.47696969696969693,20.0,61.08,3.8307518745634797,0.6909522639640153,0.04756176378943355,20.0,8.77538,3410.0
syn5,random,2.0,20.0,0.0008333333333333333,0.0008333333333333333,0.0008333333333333333,20.0,3405.5199999999995,7.940025699852488,0.49233438800319773,0.0008123476848090983,20.0,0.0001,3410.0
syn5,sa,2.0,20.0,0.22166666666666668,0.22166666666666668,0.22166666666666668,20.0,2737.52,7.192568897436969,0.6407961293980478,0.010398342636720962,20.0,0.00564,3410.0
syn5,subgraphx,2.0,20.0,0.33053722133746366,0.28583333333333333,0.4036511544011544,20.0,14.419999999999998,2.5834324253090735,1.0,0.046862193362193355,20.0,5.971220000000001,3410.0
syn6,basic_gnnexplainer,2.0,20.0,0.1268888888888889,0.126,0.128,20.0,238.54000000000002,3.5328527271712007,0.2907293101605966,0.047623085957237625,20.0,6.00756,3948.0
syn6,distance,2.0,20.0,0.7333333333333335,0.732,0.7350000000000001,20.0,3821.72,8.12152651396811,0.06907708333333333,0.0014285714285714286,20.0,0.01792,3948.0
syn6,gnnexplainer,2.0,20.0,0.17222222222222222,0.172,0.17250000000000001,20.0,238.54000000000002,3.512904804291344,0.3011531725399676,0.047623085957237625,20.0,5.77538,3948.0
syn6,ig,2.0,20.0,0.3997777777777778,0.382,0.42200000000000004,20.0,3321.84,7.376749741423424,0.37303706094808964,0.004829198255038236,20.0,0.22202000000000002,3948.0
syn6,occlusion,2.0,20.0,0.07400000000000001,0.074,0.074,20.0,3946.63,8.263075189191714,0.9622206209516969,0.0014285714285714286,20.0,0.7350800000000001,3948.0
syn6,pagerank,2.0,20.0,0.658222222222222,0.5979999999999999,0.7334999999999999,20.0,3045.3199999999997,6.482412362484212,0.0010070391851670084,0.002719916814473067,20.0,0.02912,3948.0
syn6,pgexplainer,2.0,20.0,0.45466666666666666,0.43599999999999994,0.47883333333333333,20.0,18.34,1.470579020989853,0.03461109494420647,0.3178387086690997,20.0,0.03584,3948.0
syn6,pgmexplainer,2.0,20.0,0.39444444444444443,0.37,0.425,20.0,842.18,6.11639007158462,0.2933867203166555,0.007019932612331882,20.0,5.14426,3948.0
syn6,random,2.0,20.0,0.0,0.0,0.0,20.0,3942.8599999999997,8.086486718934054,0.44538434964900364,0.0014285714285714286,20.0,0.0001,3948.0
syn6,sa,2.0,20.0,0.10111111111111112,0.09799999999999999,0.10499999999999998,20.0,3514.0199999999995,7.760519997919014,0.7869853536708182,0.0028533514575551076,20.0,0.00574,3948.0
syn6,subgraphx,2.0,20.0,0.6417222222222222,0.5559999999999999,0.8528333333333332,20.0,6.779999999999999,1.809691672724839,1.0,0.15800000000000003,20.0,304.08527999999995,3948.0
